"주차장번호";"주차장명";"주차장구분";"주차장유형";"소재지도로명주소";"소재지지번주소";"주차구획수";"급지구분";"부제시행구분";"운영요일";"평일운영시작시각";"평일운영종료시각";"토요일운영시작시각";"토요일운영종료시각";"공휴일운영시작시각";"공휴일운영종료시각";"요금정보";"주차기본시간";"주차기본요금";"추가단위시간";"추가단위요금";"1일주차권요금적용시간";"1일주차권요금";"월정기권요금";"결제방법";"특기사항";"관리기관명";"전화번호";"위도";"경도";"데이터기준일자"
"204-2-000002";"단대 제1";"공영";"노외";"경기도 성남시 수정구 논골로 54";"경기도 성남시 수정구 단대동 27-1번지";151;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.45869467;127.1586362;"2022-06-08"
"204-2-000003";"희망로";"공영";"노외";"경기도 성남시 수정구 희망로506번길 21";"경기도 성남시 수정구 단대동 129번지";57;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44964525;127.1556651;"2022-06-08"
"204-2-000004";"양지 제1";"공영";"노외";"경기도 성남시 수정구 논골로 40";"경기도 성남시 수정구 양지동 724번지";192;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.45760562;127.1590995;"2022-06-08"
"204-2-000005";"양지 제2";"공영";"노외";"경기도 성남시 수정구 양지로 2";"경기도 성남시 수정구 양지동 865-1번지";110;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.45528609;127.1606724;"2022-06-08"
"204-2-000006";"산성동 제1";"공영";"노외";"경기도 성남시 수정구 희망로534번길 14";"경기도 성남시 수정구 산성동 2223번지";109;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;300;10;100;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.45163183;127.1523239;"2022-06-08"
"204-2-000007";"단대 공원";"공영";"노외";"경기도 성남시 수정구 수정로456번길 61";"경기도 성남시 수정구 산성동 507번지";147;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;300;10;100;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.45705541;127.1554861;"2022-06-08"
"204-2-000008";"산성동 제2";"공영";"노외";"";"경기도 성남시 수정구 산성동 1808";116;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.45441295;127.1545652;"2022-06-08"
"204-2-000009";"산성역 환승";"공영";"노외";"경기도 성남시 수정구 수정로366번길 7";"경기도 성남시 수정구 산성동 6번지";225;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;0;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.45666153;127.1507202;"2022-06-08"
"204-2-000010";"복정 3호";"공영";"노외";"경기도 성남시 수정구 복정로 98";"경기도 성남시 수정구 복정동 673번지";284;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.46173843;127.1272242;"2022-06-08"
"204-2-000011";"복정 4호";"공영";"노외";"경기도 성남시 수정구 복정로20번길 16";"경기도 성남시 수정구 복정동 707번지";196;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.45466888;127.1290839;"2022-06-08"
